GameID,Team A,Team A Score,Team A WKLoss,Team B,Team B Score,Team B WKLoss,DT_firstInning,DT_secondInning,DT_Points_TeamA,DT_Points_TeamB,DT_C_Team,DT_C_BattingOrder,DT_C_BattingOrder_Inning,DT_C_Position_Inning,DT_VC_Team,DT_VC_BattingOrder,DT_VC_BattingOrder_Inning,DT_VC_Position_Inning,DT_C_Position,DT_VC_Position,DT_CVC,DT_TeamA_PlayersCount,DT_TeamB_PlayersCount,DT_Ratio_of_Players,DT_CVC_Ratio,DT_C_Ratio_Inning,DT_VC_Ratio_Inning,DT_C_Position_Ratio_of_Players,DT_VC_Position_Ratio_of_Players,DT_TeamA_PrevMatch_PlayerCount,DT_TeamA_PrevMatch_Captain,DT_TeamA_PrevMatch_Vice-Captain,DT_TeamB_PrevMatch_PlayerCount,DT_TeamB_PrevMatch_Captain,DT_TeamB_PrevMatch_Vice-Captain
20240417DCGT,DC,LOW,LOW,GT,LOW,HIGH,GT,DC,443,162,DC,11,11_2nd Inning,BOWL_2nd Inning,GT,8,8_1st Inning,BOWL_1st Inning,BOWL,BOWL,Different,8,3,8:3,Different_8:3,Different_2nd Inning_8:3,Different_1st Inning_8:3,Different_BOWL_8:3,Different_BOWL_8:3,6,Yes,Yes,5,No,No
20240418MIPBKS,MI,HIGH,MED,PBKS,HIGH,HIGH,MI,PBKS,442,386,MI,3,3_1st Inning,BAT_1st Inning,PBKS,10,10_2nd Inning,BOWL_2nd Inning,BAT,BOWL,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_BAT_6:5,Different_BOWL_6:5,5,Yes,No,5,Yes,Yes
20240419CSKLSG,CSK,MED,MED,LSG,MED,LOW,CSK,LSG,259,399,LSG,2,2_2nd Inning,WK_2nd Inning,CSK,4,4_1st Inning,ALL_1st Inning,WK,ALL,Different,5,6,6:5,Different_6:5,Different_2nd Inning_6:5,Different_1st Inning_6:5,Different_WK_6:5,Different_ALL_6:5,6,No,Yes,4,No,No
20240420SRHDC,SRH,HIGH,MED,DC,HIGH,HIGH,SRH,DC,614,391,SRH,11,11_1st Inning,BOWL_1st Inning,SRH,1,1_1st Inning,BAT_1st Inning,BOWL,BAT,Same,6,5,6:5,Same_6:5,Same_1st Inning_6:5,Same_1st Inning_6:5,Same_BOWL_6:5,Same_BAT_6:5,7,Yes,No,8,Yes,No
20240421GTPBKS,GT,MED,MED,PBKS,MED,HIGH,PBKS,GT,463,285,GT,9,9_2nd Inning,BOWL_2nd Inning,PBKS,10,10_1st Inning,BOWL_1st Inning,BOWL,BOWL,Different,7,4,7:4,Different_7:4,Different_2nd Inning_7:4,Different_1st Inning_7:4,Different_BOWL_7:4,Different_BOWL_7:4,3,No,Yes,5,No,Yes
20240421RCBKKR,RCB,HIGH,HIGH,KKR,HIGH,MED,KKR,RCB,340,468,KKR,7,7_1st Inning,ALL_1st Inning,RCB,4,4_2nd Inning,BAT_2nd Inning,ALL,BAT,Different,5,6,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_BAT_6:5,4,No,Yes,5,Yes,No
20240422MIRR,MI,MED,HIGH,RR,HIGH,LOW,MI,RR,233,551,RR,11,11_2nd Inning,BOWL_2nd Inning,RR,1,1_2nd Inning,BAT_2nd Inning,BOWL,BAT,Same,4,7,7:4,Same_7:4,Same_2nd Inning_7:4,Same_2nd Inning_7:4,Same_BOWL_7:4,Same_BAT_7:4,6,Yes,No,6,No,Yes
20240423LSGCSK,LSG,HIGH,LOW,CSK,HIGH,LOW,CSK,LSG,381,364,LSG,3,3_2nd Inning,ALL_2nd Inning,CSK,2,2_1st Inning,BAT_1st Inning,ALL,BAT,Different,7,4,7:4,Different_7:4,Different_2nd Inning_7:4,Different_1st Inning_7:4,Different_ALL_7:4,Different_BAT_7:4,6,Yes,No,5,No,Yes
20240424GTDC,GT,HIGH,HIGH,DC,HIGH,LOW,DC,GT,401,487,DC,3,3_1st Inning,ALL_1st Inning,DC,5,5_1st Inning,WK_1st Inning,ALL,WK,Same,6,5,6:5,Same_6:5,Same_1st Inning_6:5,Same_1st Inning_6:5,Same_ALL_6:5,Same_WK_6:5,7,Yes,No,5,No,No
20240425RCBSRH,RCB,HIGH,MED,SRH,MED,HIGH,RCB,SRH,439,336,RCB,5,5_1st Inning,ALL_1st Inning,SRH,10,10_2nd Inning,BOWL_2nd Inning,ALL,BOWL,Different,6,5,6:5,Different_6:5,Different_1st Inning_6:5,Different_2nd Inning_6:5,Different_ALL_6:5,Different_BOWL_6:5,5,No,Yes,6,Yes,Yes
